設置校舎,学年,時間割CD,履修期名,曜日,1,2,3,4,5,6,科目名,特記事項,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室
船橋,3,K22C,前期,火,,○,,,,,組込システムⅠ,,望月　寛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,,,,
船橋,3,K22D,後期,火,,○,,,,,システム工学,電子・情報の共同開講,高橋　聖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
船橋,4,K22E,前期,火,,○,,,,,マルチメディア,,吉川　浩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,
船橋,2,K23A,年間,火,,,○,○,,,情報工学実験Ⅱ,,高橋　聖,細野　裕行,望月　寛,山口　健,櫻庭　秀次,,,,,,,,,,,,,,,,,,,,,,,,,,,,221(実験室),,,,,,,,,,
船橋,3,K23B,前期,火,,,○,,,,計測システム,,布施　匡章,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443,,,,,,,,,,
船橋,3,K23C,後期,火,,,○,,,,マネジメント工学,,五味　悠一郎,篠原　昭夫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,1443,,,,,,,,,
船橋,3,K24A,年間隔週,火,,,,○,,,インターンシップ,年間隔週授業,西脇　大輔,澤邉　知子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443,,,,,,,,,,
船橋,4,K24B,前期,火,,,,○,,,オートマトン,,保谷　哲也,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422,,,,,,,,,,
船橋,2,K25A,前期,火,,,,,○,,幾何概論Ⅰ,,大越　健斗　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,,,,,,,,,,
船橋,2,K25B,後期,火,,,,,○,,幾何概論Ⅱ,,齋藤　洋樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
船橋,2,K26A,前期,火,,,,,,○,情報社会と倫理,,宮崎　智絵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
船橋,1,K31A,前期,水,○,,,,,,情報基礎演習Ⅰ,,西脇　大輔,澤邉　知子,山口　健,関　弘翔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,1021,1201(PC演習室),1204(PC演習室),,,,,,,
船橋,1,K31B,後期,水,○,○,,,,,Ｃプログラミング及び演習,,香取　照臣,滕　琳,関　弘翔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201(PC演習室),1204(PC演習室),,,,,,,,,
船橋,2,K31C,後期,水,○,,,,,,数値計算法,,高橋　聖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
船橋,3,K31D,前期,水,○,,,,,,制御理論,,保谷　哲也,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
船橋,3,K31E,後期,水,○,,,,,,オペレーティングシステム,,望月　寛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,,,,,,,,,,
船橋,4,K31F,後期,水,○,,,,,,特殊無線概論,,三枝　健二,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442,,,,,,,,,,
船橋,1,K32A,前期,水,,○,,,,,論理回路,１クラス用,滕　琳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021,,,,,,,,,,
船橋,1,K32B,前期,水,,○,,,,,論理回路,２クラス用,香取　照臣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,,,,,,,,,,
船橋,2,K32C,前期,水,,○,,,,,組込回路Ⅰ,,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222(PC演習室),1442,,,,,,,,,
船橋,2,K32D,後期,水,,○,,,,,情報ネットワーク基礎,,澤邉　知子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326,,,,,,,,,,
船橋,3,K32E,前期,水,,○,,,,,ネットワークシステム,,澤邉　知子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023,,,,,,,,,,
船橋,3,K32F,後期,水,,○,,,,,パターン認識,,西脇　大輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,,,,,,,,,,
船橋,4,K32G,前期,水,,○,,,,,交通情報システム,,高橋　聖,高橋　聡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444,,,,,,,,,,
船橋,1,K33A,前期,水,,,○,,,,線形代数学Ⅰ,,五十嵐　威文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
船橋,1,K33B,後期,水,,,○,,,,線形代数学Ⅱ,,梅田　耕平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
船橋,2,K33C,年間,水,,,○,,,,データ構造とアルゴリズム及び演習,,香取　照臣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121,1201(PC演習室),1204(PC演習室),,,,,,,,
船橋,3,K33D,年間,水,,,○,○,,,情報工学実験Ⅲ,,保谷　哲也,松野　裕,五味　悠一郎,村上　知里,関　弘翔,宮崎　比呂志,,,,,,,,,,,,,,,,,,,,,,,,,,,221(実験室),,,,,,,,,,
船橋,4,K33E,後期,水,,,○,,,,ロボット工学,,入江　寿弘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441,,,,,,,,,,
船橋,2,K34A,前期,水,,,,○,,,数値解析,,西脇　大輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441,,,,,,,,,,
船橋,1,K41A,前期,木,○,,,,,,微分積分学Ⅰ,,渡邉　健太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
船橋,1,K41B,後期,木,○,,,,,,微分積分学Ⅱ,,渡邉　健太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
船橋,3,K41C,前期,木,○,,,,,,画像処理,,香取　照臣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
船橋,3,K41D,後期,木,○,,,,,,応用情報工学キャリアデザイン,,香取　照臣,高橋　聖,西脇　大輔,保谷　哲也,細野　裕行,松野　裕,望月　寛,吉川　浩,五味　悠一郎,澤邉　知子,滕　琳,村上　知里,山口　健,関　弘翔,,,,,,,,,,,,,,,,,,,241,,,,,,,,,,
船橋,4,K41E,前期,木,○,,,,,,組込システムⅡ,,松野　裕,望月　寛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,
船橋,1,K42A,前期,木,,○,,,,,物理学Ⅰ,１クラス用,岡田　悟志,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,,,,,,,,,,
船橋,1,K42B,前期,木,,○,,,,,物理学Ⅰ,２クラス用,野手　順一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
船橋,1,K42C,後期,木,,○,,,,,物理学Ⅱ,１クラス用,岡田　悟志,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042,,,,,,,,,,
船橋,1,K42D,後期,木,,○,,,,,物理学Ⅱ,２クラス用,野手　順一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
船橋,2,K42E,前期,木,,○,,,,,情報数学,,滕　琳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
船橋,2,K42F,後期,木,,○,,,,,組込回路Ⅱ,,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,,,,
船橋,4,K42G,前期,木,,○,,,,,情報通信システム,,澤邉　知子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,
船橋,1,K43A,前期,木,,,○,,,,物理学Ⅰ演習,,岡田　悟志,野手　順一,勝木　厚成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,625,634,,,,,,,,
船橋,1,K43B,後期,木,,,○,,,,物理学Ⅱ演習,,岡田　悟志,野手　順一,勝木　厚成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,625,634,,,,,,,,
船橋,2,K43C,年間,木,,,○,○,,,情報工学実験Ⅱ,,高橋　聖,望月　寛,山口　健,櫻庭　秀次,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221(実験室),,,,,,,,,,
船橋,3,K43D,前期,木,,,○,,,,ソフトウェア工学,,松野　裕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
船橋,1,K44A,前期,木,,,,○,,,英語ⅠA,,金森　強,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,,,,,,,
船橋,1,K44B,前期,木,,,,○,,,英語ⅠA,,河口　伸子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
船橋,1,K44C,前期,木,,,,○,,,英語ⅠA,,髙橋　比路史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,,,,,,,,,,
船橋,1,K44D,後期,木,,,,○,,,英語ⅠB,,金森　強,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132（可能ならば1233）,,,,,,,,,,
船橋,1,K44E,後期,木,,,,○,,,英語ⅠB,,河口　伸子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
船橋,1,K44F,後期,木,,,,○,,,英語ⅠB,,髙橋　比路史,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,,,,,,,,,,
船橋,3,K51A,前期,金,○,,,,,,シミュレーション工学,,西脇　大輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
船橋,1,K52A,前期,金,,○,,,,,回路理論Ⅰ,１クラス用,山口　健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,,,,
船橋,1,K52B,前期,金,,○,,,,,回路理論Ⅰ,２クラス用,澤邉　知子,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,,,,,,,,,,
船橋,1,K52C,後期,金,,○,,,,,回路理論Ⅱ,１クラス用,山口　健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,,,,,,,,,,
船橋,1,K52D,後期,金,,○,,,,,回路理論Ⅱ,２クラス用,澤邉　知子,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,,,,,,,,,,
船橋,2,K52E,前期,金,,○,,,,,オブジェクト指向プログラミング,,滕　琳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423,,,,,,,,,,
船橋,2,K52F,後期,金,,○,,,,,Javaプログラミング,,吉川　浩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201(PC演習室),1204(PC演習室),,,,,,,,,
船橋,3,K52G,前期,金,,○,,,,,情報理論,,関　弘翔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
船橋,3,K52H,後期,金,,○,,,,,通信システム基礎,,細野　裕行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
船橋,1,K53A,後期,金,,,○,,,,計算機工学Ⅰ,,西脇　大輔,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
船橋,2,K53B,後期,金,,,○,,,,信号理論,,細野　裕行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
船橋,3,K53C,前期,金,,,○,,,,応用統計,,松野　裕,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
船橋,3,K53D,後期,金,,,○,,,,オプトエレクトロニクス,,吉川　浩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
船橋,4,K53E,前期,金,,,○,○,,,プロジェクト実習,,香取　照臣,西脇　大輔,五味　悠一郎,澤邉　知子,滕　琳,笠島　正明,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,,,,,,,
船橋,4,K53F,後期,金,,,○,,,,データマイニング,,滕　琳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,,,,,,,,,,
船橋,2,K54A,前期,金,,,,○,,,電気物理,,細野　裕行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,
船橋,2,K54B,後期,金,,,,○,,,情報セキュリティ基礎,,五味　悠一郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202(PC演習室),1234,,,,,,,,,
船橋,3,K54C,後期,金,,,,○,,,応用情報工学総合演習,,細野　裕行,望月　寛,澤邉　知子,滕　琳,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434,1443,,,,,,,,,
船橋,4,K54D,後期,金,,,,○,,,環境情報,,三枝　健二,西川　省吾,織田　利彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454,,,,,,,,,,
船橋,1,K55A,後期,金,,,,,○,,物質の構造と状態,,大宅　淳一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1133,,,,,,,,,,
船橋,2,K56A,前期,金,,,,,,○,情報職業論,,山口　敏和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,,,,,,,,,,
船橋,2,K56B,前期,金,,,,,,○,代数概論Ⅰ,,渡邉　健太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421,,,,,,,,,,
船橋,2,K56C,後期,金,,,,,,○,代数概論Ⅱ,,大越　健斗　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421,,,,,,,,,,
船橋,4,K66A,年間,土,,,,,,○,卒業研究,,香取　照臣,高橋　聖,西脇　大輔,保谷　哲也,細野　裕行,松野　裕,望月　寛,吉川　浩,五味　悠一郎,澤邉　知子,滕　琳,村上　知里,山口　健,関　弘翔,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,2,S11A,前期,月,○,,,,,,微分方程式Ⅰ,,多田　秀樹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,,,,,,,
船橋,2,S11B,後期,月,○,,,,,,微分方程式Ⅱ,,渡邉　健太,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132,,,,,,,,,,
駿河台,2,T11A,前期,月,○,,,,,,English Communication Ⅰ,,IAN EDWARD ELLSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
駿河台,2,T11B,前期,月,○,,,,,,English Communication Ⅰ,,R･C・Lavey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
駿河台,2,T11C,後期,月,○,,,,,,English Communication Ⅱ,,IAN EDWARD ELLSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
駿河台,2,T11D,後期,月,○,,,,,,English Communication Ⅱ,,R･C・Lavey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
駿河台,3,T11E,前期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,水戸　俊介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
駿河台,3,T11F,前期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S201,,,,,,,,,,
駿河台,3,T11G,前期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,冨樫　壮央,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,
駿河台,3,T11H,前期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,金子　利雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
駿河台,3,T11I,前期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,小中　秀彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,
駿河台,3,T11J,前期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,鈴木　孝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,
駿河台,3,T11K,前期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,ｼﾞｮﾅｻﾝ･ﾊﾘｿﾝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S405,,,,,,,,,,
駿河台,3,T11L,前期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,髙坂　映子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
駿河台,3,T11M,前期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,鷲尾　郁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
駿河台,3,T11N,後期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,水戸　俊介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
駿河台,3,T11O,後期,月,○,,,,,,英語特殊講義A,機械，応化，物理 履修推奨時限,金子　利雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
駿河台,3,T11P,後期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,ｼﾞｮﾅｻﾝ･ﾊﾘｿﾝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S405,,,,,,,,,,
駿河台,3,T11Q,後期,月,○,,,,,,英語特殊講義B,機械，応化，物理 履修推奨時限,鷲尾　郁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,
船橋,1,P12A,前期,月,,○,,,,,スポーツⅠ,競技：サッカー,原仲　碧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,P12B,前期,月,,○,,,,,スポーツⅠ,競技：バレーボール,小沼　直子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,P12C,前期,月,,○,,,,,スポーツⅠ,競技：トレーニング,重城　哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,P12D,前期,月,,○,,,,,スポーツⅠ,競技：卓球,鈴木　功士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,P12E,前期,月,,○,,,,,スポーツⅠ,競技：ソフトボール,進藤　大典,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,P12F,前期,月,,○,,,,,スポーツⅠ,競技：テニス,髙橋　亮輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,P12G,前期,月,,○,,,,,スポーツⅠ,競技：バスケットボール,服部　英恵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,P12H,前期,月,,○,,,,,スポーツⅠ,競技：バドミントン,安住　文子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,P12I,前期,月,,○,,,,,スポーツⅠ,競技：ニュースポーツ,沖　和磨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,P12J,前期,月,,○,,,,,スポーツⅠ,競技：ゴルフ,東中　友哉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,Q12A,後期,月,,○,,,,,スポーツⅡ,競技：バレーボール,小沼　直子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,Q12B,後期,月,,○,,,,,スポーツⅡ,競技：バスケットボール,服部　英恵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,Q12C,後期,月,,○,,,,,健康の科学,,重城　哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,
船橋,1,Q12D,後期,月,,○,,,,,スポーツⅡ,競技：ソフトボール,進藤　大典,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,Q12E,後期,月,,○,,,,,スポーツⅡ,競技：サッカー,鈴木　功士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,Q12F,後期,月,,○,,,,,スポーツⅡ,競技：テニス,髙橋　亮輔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,Q12G,後期,月,,○,,,,,スポーツⅡ,競技：バドミントン・卓球,安住　文子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,Q12H,後期,月,,○,,,,,スポーツⅡ,競技：ニュースポーツ,沖　和磨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,1,Q12I,後期,月,,○,,,,,スポーツⅡ,競技：ゴルフ,東中　友哉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,授業実施場所は別途連絡,,,,,,,,,,
船橋,3,S12A,後期,月,,○,,,,,英語特殊講義A,,秋庭　大悟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,,,,,,,,,,
駿河台,2,T12A,前期,月,,○,,,,,心理学,Ⅱ群,伊藤　令枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,
駿河台,2,T12B,前期,月,,○,,,,,English Communication Ⅰ,,R･C・Lavey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
駿河台,2,T12C,前期,月,,○,,,,,English Communication Ⅰ,,IAN EDWARD ELLSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
駿河台,2,T12D,後期,月,,○,,,,,心理学,Ⅱ群,伊藤　令枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,
駿河台,2,T12E,後期,月,,○,,,,,English Communication Ⅱ,,R･C・Lavey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S303,,,,,,,,,,
駿河台,2,T12F,後期,月,,○,,,,,English Communication Ⅱ,,IAN EDWARD ELLSWORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S203,,,,,,,,,,
駿河台,3,T12G,前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,水戸　俊介,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,
駿河台,3,T12H,前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,青木　啓子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S201,,,,,,,,,,
駿河台,3,T12I,前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,冨樫　壮央,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,
駿河台,3,T12J,前期,月,,○,,,,,英語特殊講義A,土木，建築，まち 履修推奨時限,金子　利雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S304,,,,,,,,,,
駿河台,3,T12K,前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,小中　秀彦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,
駿河台,3,T12L,前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,鈴木　孝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,
駿河台,3,T12M,前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,ｼﾞｮﾅｻﾝ･ﾊﾘｿﾝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S405,,,,,,,,,,
駿河台,3,T12N,前期,月,,○,,,,,英語特殊講義B,土木，建築，まち 履修推奨時限,髙坂　映子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,
